region,horizon,MAE,RMSE,MedAE,ME,ZeroAcc,n,MASE,RMSSE
dnipropetrovsk,4,2.2083333333333335,2.806243040080456,2.0,0.125,0.75,24,2.9342409240924097,2.1297252437189886
dnipropetrovsk,5,0.75,1.4433756729740645,0.0,0.0,0.6666666666666666,24,0.9965346534653465,1.0954124653489088
dnipropetrovsk,6,1.4166666666666667,2.160246899469287,0.5,0.0,0.6666666666666666,24,1.8823432343234325,1.6394632570147993
dnipropetrovsk,7,2.0416666666666665,2.6060826285186485,2.0,0.041666666666666664,0.75,24,2.7127887788778877,1.977818699913666
donetsk,1,0.25,0.5,0.0,0.0,0.75,24,1.2612781954887218,0.6404269663798549
donetsk,2,0.375,0.7359800721939872,0.0,0.041666666666666664,0.7083333333333334,24,1.8919172932330828,0.9426829699024436
donetsk,3,0.20833333333333334,0.45643546458763845,0.0,0.041666666666666664,0.7916666666666666,24,1.0510651629072683,0.5846271598680819
donetsk,4,0.7916666666666666,1.8142950880897701,0.0,-0.041666666666666664,0.625,24,3.994047619047619,2.323846998766406
donetsk,5,0.5833333333333334,0.9574271077563381,0.0,0.0,0.5833333333333334,24,2.942982456140351,1.22632427630046
donetsk,6,1.2083333333333333,3.1024184114977142,0.0,-0.041666666666666664,0.7083333333333334,24,6.096177944862156,3.9737448234329786
donetsk,7,1.0833333333333333,2.533114025595111,0.0,0.0,0.5833333333333334,24,5.465538847117794,3.2445490618122776
ivano-frankivsk,1,0.0,0.0,0.0,0.0,1.0,24,0.0,0.0
ivano-frankivsk,2,0.0,0.0,0.0,0.0,1.0,24,0.0,0.0
ivano-frankivsk,3,0.08333333333333333,0.28867513459481287,0.0,0.0,0.9166666666666666,24,5.591666666666667,2.36467051968486
ivano-frankivsk,4,0.16666666666666666,0.5773502691896257,0.0,0.0,0.9166666666666666,24,11.183333333333334,4.72934103936972
ivano-frankivsk,5,0.0,0.0,0.0,0.0,1.0,24,0.0,0.0
ivano-frankivsk,6,0.08333333333333333,0.28867513459481287,0.0,0.0,0.9166666666666666,24,5.591666666666667,2.36467051968486
ivano-frankivsk,7,0.08333333333333333,0.28867513459481287,0.0,0.0,0.9166666666666666,24,5.591666666666667,2.36467051968486
kharkiv,1,1.2916666666666667,1.541103500742244,1.0,-0.041666666666666664,0.5,24,4.490716753022452,2.300963975369202
kharkiv,2,1.25,1.632993161855452,1.0,-0.08333333333333333,0.7916666666666666,24,4.345854922279792,2.4381609902540182
kharkiv,3,1.0416666666666667,1.4577379737113252,1.0,-0.2916666666666667,0.5416666666666666,24,3.621545768566494,2.1764940261455292
kharkiv,4,1.6666666666666667,2.1984843263788196,1.0,0.08333333333333333,0.7083333333333334,24,5.79447322970639,3.2824746897110377
kharkiv,5,1.25,1.632993161855452,1.0,0.0,0.5833333333333334,24,4.345854922279792,2.4381609902540182
kharkiv,6,0.9166666666666666,1.224744871391589,1.0,-0.08333333333333333,0.875,24,3.1869602763385143,1.8286207426905137
kharkiv,7,1.9583333333333333,2.7913557040740375,1.0,-0.125,0.5416666666666666,24,6.808506044905008,4.167668761002924
kherson,1,1.7916666666666667,2.169869427715256,2.0,-0.125,0.875,24,2.683500744047619,1.7103420890945749
