,Feature,h1_gain,h2_gain,h3_gain,h4_gain,h5_gain,h6_gain,h7_gain,agg_gain,total_gain
44,act_drone_strike_on_ua_binary_target_lag-4,170.77638147771358,91.22126007080078,311.89605992659926,3760.786266565323,304.7812490463257,59.52115035057068,492.88621830940247,741.6955122495336,5933.564097996269
45,act_drone_strike_on_ua_binary_target_lag-3,858.0753156542778,149.26475524902344,77.99468377232552,94.34430256485939,3638.1006351411343,247.1759033203125,103.45830988883972,738.3448436558247,5906.758749246597
46,env_weather_wind_speed_10m_mean_futcov_lag4,746.323270238936,716.0987085476518,515.260596036911,1028.2927284762263,693.5583906173706,1086.1856357604265,381.0716995995026,738.1130041824321,5904.9040334594565
47,env_weather_wind_speed_10m_max_futcov_lag4,698.782527923584,763.65664935112,768.3602850735188,590.2380257993937,839.8762555122375,890.3430639877915,590.4593122558435,734.530874271927,5876.246994175416
48,ewm_expdecay7_total_ru_area_km2_pastcov_lag-1,2362.787844400853,604.9923694133759,239.74164929706603,720.6258400343359,302.64905071258545,601.3450344260782,304.89922067523,733.8630012799321,5870.9040102394565
49,env_weather_wind_direction_10m_dominant_futcov_lag4,879.1536618471146,515.5093643665314,908.4347703009844,563.9834115505219,1130.1497038006783,612.0988069176674,503.69334530830383,730.4318662988288,5843.454930390631
50,env_weather_wind_speed_10m_max_futcov_lag3,953.6746011525393,864.3052489757538,709.0209789611399,859.614750303328,698.1276265569031,323.41054880432785,555.1136573553085,709.0382017299,5672.3056138392
51,env_weather_wind_direction_10m_dominant_futcov_lag3,600.7798190377653,975.4881580034271,767.457206943538,840.399523973465,828.8001896734932,414.5847215652466,445.59247893095016,696.1574425896979,5569.259540717583
52,env_weather_wind_gusts_10m_max_futcov_lag1,517.6932244300842,978.7271521855146,462.8406933546066,957.726468577981,455.1907611042261,857.203672148753,539.3786675930023,681.2515199134525,5450.01215930762
53,env_weather_wind_speed_10m_mean_futcov_lag3,714.6846920698881,855.6114639043808,950.7351600527763,690.8004304468632,701.0404697060585,449.99655754864216,386.78412449359894,678.5218426031726,5428.1747408253805
54,env_weather_wind_gusts_10m_max_futcov_lag-2,1103.6329565048218,668.5072832107544,779.0090839378536,379.36304450035095,704.8855679184198,592.0228933217004,505.1803955733776,676.0858892810398,5408.687114248319
55,env_weather_wind_direction_10m_dominant_futcov_lag2,1076.8862899998203,643.8231561332941,619.1071067610756,588.8818317651749,482.23022362589836,545.4063973426819,741.3089348115027,671.0919914913496,5368.735931930797
56,rolling_rsum14_14_acled_other_rus_shelling_artillery_missile_attack_pastcov_lag-1,202.69330475106835,692.9803915135562,913.8310959124938,918.516638033092,436.5940202642232,889.4444659203291,603.6866269898601,665.3923633406604,5323.138906725283
57,env_weather_wind_speed_10m_max_futcov_lag0,865.2013626098633,692.6767156124115,823.8689634799957,297.72814878821373,918.2785173170269,558.8729984015226,487.6037033200264,663.4614870755801,5307.6918966046405
58,env_weather_wind_gusts_10m_max_futcov_lag4,731.0364682674408,392.06033182144165,658.7177383899689,651.034188747406,1037.3294110894203,469.61610198020935,666.3133790791035,658.0153741964272,5264.122993571417
59,env_weather_wind_gusts_10m_max_futcov_lag0,946.8655012967065,386.20014625787735,837.6884986460209,739.3684183894657,816.6736446943833,491.16002678871155,378.04714875412174,656.5719121181838,5252.575296945471
60,env_weather_wind_gusts_10m_mean_futcov_lag2,606.452768035233,545.9290632605553,960.899900496006,560.3856773376465,493.28510984266177,486.3507045507431,939.2744464725256,656.0825242850531,5248.660194280425
61,env_weather_wind_gusts_10m_mean_futcov_lag0,1106.4621050655842,427.39091055467725,264.7372417524457,492.4960836726241,810.4373285770416,824.7190307378769,655.0127322673798,654.465061803947,5235.720494431576
