Feature,h1_gain,h2_gain,h3_gain,h4_gain,h5_gain,h6_gain,h7_gain,mean_gain
env_weather_wind_gusts_10m_mean_futcov_lag1,140.38695240020752,392.6704168319702,228.3184232711792,218.01665496826172,122.53917932510376,358.7366409301758,253.406099319458,244.86776672090804
env_weather_wind_gusts_10m_mean_futcov_lag6,174.19337368011475,347.80224227905273,284.3763122558594,192.87635135650635,39.262999534606934,251.59752225875854,416.59398651123047,243.81468398230416
env_weather_wind_speed_10m_mean_futcov_lag4,185.01728773117065,284.5622797012329,314.87727546691895,188.87342834472656,377.44482040405273,216.53836727142334,130.50297927856445,242.54520545686995
ewm_expdecay7_com_aid_humanitarian_pastcov_lag-14,254.547607421875,99.31149959564209,662.418698310852,234.35640048980713,27.846099853515625,165.29830169677734,239.9487476348877,240.53247928619385
env_weather_wind_speed_10m_max_futcov_lag-1,175.33864974975586,191.5081968307495,129.34726428985596,382.97093439102173,209.25189876556396,405.92016649246216,182.64137077331543,239.56835447038924
ewm_expdecay7_acled_other_rus_shelling_artillery_missile_attack_pastcov_lag-14,86.66613101959229,234.52135372161865,446.32564306259155,377.4798393249512,202.36922931671143,195.83811902999878,118.27449798583984,237.35354478018624
env_weather_wind_gusts_10m_max_futcov_lag3,182.633638381958,210.2473268508911,334.2464120388031,377.9436454772949,239.14347124099731,203.5614185333252,110.13914966583252,236.84500888415747
env_weather_rain_sum_futcov_lag5,186.77209091186523,381.6155037879944,204.51714420318604,229.6741762161255,78.96599960327148,251.51080131530762,322.0438404083252,236.44279377801078
env_weather_wind_speed_10m_mean_futcov_lag-1,274.7120976448059,222.7726535797119,275.9441657066345,209.45735836029053,199.82003164291382,116.6815128326416,303.9455909729004,229.04763010569982
env_weather_wind_gusts_10m_mean_futcov_lag-2,43.133700370788574,326.6016721725464,463.1773200035095,203.37310123443604,80.74537944793701,222.6001682281494,237.33053016662598,225.28026737485612
ewm_ewma14_acled_other_rus_shelling_artillery_missile_attack_pastcov_lag-14,131.83849906921387,86.18340015411377,171.72077178955078,555.7715091705322,125.78210163116455,208.77429962158203,289.9972562789917,224.29540538787842
