F1,Precision,Recall,ROC_AUC,PR_AUC,Brier,TP,FP,TN,FN,n,region,paradigm
0.06451612903225806,0.3333333333333333,0.03571428571428571,0.6713010204081632,0.08780877986350494,0.031722585664227206,1,2,1118,27,1148,ivano-frankivsk,local
0.38240574506283664,0.7947761194029851,0.25177304964539005,0.6089192616598562,0.777695269519467,0.3281645056935162,213,55,247,633,1148,kharkiv,activity
0.7814726840855107,0.7852028639618138,0.7777777777777778,0.6142697227310444,0.7939721187004314,0.2202369101381315,658,180,122,188,1148,kharkiv,global
0.4502529510961214,0.7852941176470588,0.31560283687943264,0.5869303148435175,0.7794518668097581,0.312916798666315,267,73,229,579,1148,kharkiv,local
0.773763201778766,0.8571428571428571,0.7051671732522796,0.49978289188015634,0.8676113033693358,0.20975206225473275,696,116,45,291,1148,kherson,activity
0.9195837275307474,0.8624667258207631,0.9848024316109423,0.5024511192080903,0.8671447352696394,0.16188846622461198,972,155,6,15,1148,kherson,global
0.6633291614518148,0.867430441898527,0.5369807497467072,0.5286047814130277,0.8630700198194357,0.26485028106942093,530,81,80,457,1148,kherson,local
0.05917159763313609,0.045454545454545456,0.0847457627118644,0.43890367465097824,0.04577770675884295,0.12672158530328087,5,105,984,54,1148,khmelnytskyi,activity
0.0,0.0,0.0,0.4950273147499649,0.05047641785562247,0.04989219930976511,0,0,1089,59,1148,khmelnytskyi,global
0.0,0.0,0.0,0.44939378375433847,0.044970783503995276,0.06511610594555248,0,5,1084,59,1148,khmelnytskyi,local
0.014814814814814815,0.010752688172043012,0.023809523809523808,0.4046973219667614,0.030057467511577445,0.10983257539499802,1,92,1014,41,1148,kirovohrad,activity
0.0,0.0,0.0,0.5021958150348748,0.03828036246441291,0.035675425605289524,0,0,1106,42,1148,kirovohrad,global
0.0,0.0,0.0,0.5360910186859553,0.04285022478619591,0.048160137645332377,0,1,1105,42,1148,kirovohrad,local
0.28402366863905326,0.39344262295081966,0.2222222222222222,0.5884086959127413,0.3702317797293899,0.21991832847787587,72,111,713,252,1148,kyiv,activity
0.0,0.0,0.0,0.5725720664029725,0.34578118686598247,0.22036176514186803,0,0,824,324,1148,kyiv,global
0.023952095808383235,0.4,0.012345679012345678,0.5729353949418674,0.33510630710569456,0.21507423185222604,4,6,818,320,1148,kyiv,local
0.0,0.0,0.0,0.30075632737567076,0.0127375349803097,0.022076340149074003,0,1,1126,21,1148,luhansk,activity
0.0,0.0,0.0,0.4682046731736173,0.01762286323257766,0.01812866011975036,0,0,1127,21,1148,luhansk,global
