Feature,h1_importance,h2_importance,h3_importance,h4_importance,h5_importance,h6_importance,h7_importance,mean_importance
ewm_expdecay7_com_restrictive_redsecondary_bluesecondary_pastcov_lag-7,0.003317854329222768,0.002450941695628067,0.0034100818043267594,0.002949099163140947,0.0038551107829402254,0.0036154644533402357,0.003493447532667548,0.0032988571087523644
ewm_ewma14_act_drone_infra_ua_health_intent_pastcov_lag-14,0.0039114992979518036,0.0024908108930638577,0.0017521651832813907,0.007733521612272098,0.0019319292029780291,0.0027213783854948227,0.0025238016017824112,0.003295015168117773
env_weather_wind_gusts_10m_max_futcov_lag2,0.001570653898560883,0.002826151095408755,0.005756594986639877,0.004045026228591983,0.002732834836381809,0.0020853433710874957,0.003932088938740189,0.003278384765058713
ewm_expdecay7_com_aid_financial_pastcov_lag-7,0.004925941516442012,0.004015437921927321,0.0033485345449814573,0.0032557535306448914,0.0019382662421985677,0.00235795129516104,0.0030240437527487844,0.003266561257729154
env_weather_wind_gusts_10m_mean_futcov_lag3,0.003063995630647021,0.0030326223139747967,0.0023943495769622775,0.00647063836061791,0.0039806604243473286,0.001662628711568516,0.0021866320426555787,0.003255932437253347
env_weather_wind_speed_10m_max_futcov_lag4,0.0014623976816749594,0.0025177209549925132,0.004510859445365379,0.0033722887606262996,0.00602728423219507,0.002856474746623765,0.0019263587487728143,0.003239054938607257
ewm_ewma14_dist_to_nearest_contested_km_pastcov_lag-14,0.0032501567684715756,0.004127373985751643,0.00395972928256198,0.00333599711755854,0.0037618515307108313,0.0008137140012769477,0.003346694710830927,0.0032279310567374917
env_weather_wind_speed_10m_max_futcov_lag2,0.003982091735897301,0.004188911344951655,0.003020476558177887,0.0029727779857262244,0.00255402112038172,0.001456372252171565,0.00434617508171971,0.003217260868432295
rolling_rmean28_28_fin_usd_rub_rate_pastcov_lag-7,0.0009173212884545834,0.004449338172018109,0.0033946031433812005,0.003908638032399598,0.001445989847206812,0.005420949385091006,0.002550751361917466,0.003155370175781253
env_weather_cloud_cover_mean_futcov_lag-2,0.003896992154795632,0.0021867473210408234,0.002176135047802495,0.004339603924595331,0.004266591734928688,0.002074699960127286,0.003116429609805042,0.0031510285361564705
ewm_ewma14_dist_to_nearest_contested_km_pastcov_lag-7,0.004627813172590501,0.0020423212914261564,0.0037656272993381386,0.002464087473075674,0.0024021874292003754,0.002616110173687932,0.004047139912440595,0.0031378981073941956
env_weather_wind_speed_10m_max_futcov_lag6,0.0021512547989264792,0.0021683261805070576,0.0025530159467189854,0.0027301371589076974,0.004732168879557814,0.0026902720519986194,0.0047553883393812064,0.0031115090508568376
rolling_rmean28_28_fin_usd_rub_rate_pastcov_lag-1,0.0031707329095431126,0.002715717322275527,0.0014391563389073538,0.003728001473635405,0.004223261373009618,0.00287634163520908,0.0035323655341290357,0.003097939512387019
ewm_ewma14_fin_usd_rub_rate_pastcov_lag-7,0.006599580795353265,0.005254758373156261,0.0019640198974518667,0.0016306298464344134,0.002179064790686301,0.0020855594310851887,0.0016537694815698123,0.003052483230819587
env_weather_shortwave_radiation_sum_futcov_lag6,0.0009313329252134039,0.002747652137838555,0.0022769558165018724,0.002996628239585489,0.00143247478459297,0.002042724586642557,0.00885727694143833,0.003040720775973311
rolling_rsum14_14_act_total_daily_strike_events_pastcov_lag-1,0.0012289707332035352,0.0038934187072848726,0.0045903689178819545,0.00145045289976947,0.005011719983457338,0.0022053611093525373,0.0027657038022475826,0.003020856593313898
env_weather_cloud_cover_mean_futcov_lag1,0.0019476144442927554,0.00304815969537145,0.003924188646286689,0.004514693054621743,0.003000215146000236,0.0022146276053272977,0.0021345069959107545,0.0029691436554015608
env_weather_cloud_cover_mean_futcov_lag-1,0.0036708138251840684,0.00327312389721723,0.0035679090247041274,0.001132820199308521,0.0028705075542405463,0.0038954560676550455,0.0023468519750758244,0.0029653546490550522
env_weather_pressure_msl_min_futcov_lag5,0.0037508929453138958,0.00399781349794621,0.002228337231759067,0.004678643635601184,0.0025747112411076117,0.001361060059818211,0.0020822450666195024,0.0029533862397379544
env_weather_shortwave_radiation_sum_futcov_lag0,0.004439288745403642,0.0021199056654709696,0.0025121911336479117,0.0031986273960128053,0.002206720419124175,0.003216548576255235,0.002703856715105421,0.0029138769501457365
env_weather_cloud_cover_mean_futcov_lag5,0.0028369445944031123,0.0022398132778742195,0.003006375467756414,0.0031846552348145274,0.0013793691691939983,0.003794898649382876,0.0039032327267351404,0.0029064698743086126
env_weather_cloud_cover_mean_futcov_lag2,0.002792689427619166,0.0005135024416679977,0.003148404888358826,0.005241669066636134,0.003429479139769753,0.0026616781865812914,0.0024201969103204114,0.0028868028658505115
env_weather_cloud_cover_mean_futcov_lag0,0.001968152787432187,0.00450892166836472,0.0018141480785174207,0.0037270428444603366,0.0013373187818272693,0.0031395667087122875,0.0037028382573184603,0.0028854270180903832
env_weather_cloud_cover_mean_futcov_lag4,0.002540517050842576,0.0016359191804683712,0.003165524448980592,0.0013441090084174258,0.003233839891282221,0.004315353855320322,0.003874814911648152,0.002872868335279951
env_weather_wind_speed_10m_mean_futcov_lag4,0.0027094442057198718,0.004529018021484174,0.0024306499318087634,0.002671449670183861,0.004127187787608575,0.0027402138358830434,0.0008822391520304508,0.0028700289435312477
ewm_expdecay7_total_ru_area_km2_pastcov_lag-1,0.001718170653113358,0.0024572439647052957,0.0028000172564207463,0.00524643190000762,0.002481876954874835,0.0031046371059218277,0.002107855416828908,0.0028451761788389415
rolling_rsum7_7_act_total_daily_strike_events_pastcov_lag-14,0.003090531365002701,0.0022974159151677564,0.003064667194300797,0.004704440203136265,0.002053351616309732,0.003992274630783922,0.0007041584515426503,0.002843834196606261
env_weather_wind_speed_10m_mean_futcov_lag6,0.0022524459905888354,0.004561145862685655,0.002241278562924914,0.004014290529479262,0.002362407663033216,0.0015793024532950004,0.0027436485512569455,0.002822074230466261
env_weather_wind_speed_10m_max_futcov_lag5,0.0022125126414179654,0.001692745388567087,0.0021377753924106298,0.003871818631813537,0.0023926406164866184,0.004650436980753244,0.002781005948945944,0.002819847942913575
env_weather_pressure_msl_min_futcov_lag3,0.0035746355157797323,0.006053004966191355,0.002165955243486077,0.0023499298456051173,0.0026640918045528657,0.002061922263857202,0.0008355724295618406,0.002815016009862027
