F1,Precision,Recall,ROC_AUC,PR_AUC,Brier,TP,FP,TN,FN,n,region,horizon
0.0,0.0,0.0,0.7597402597402597,0.07291666666666666,0.024513074079777954,0,0,77,2,79,vinnytsia,2
0.0,0.0,0.0,0.8311688311688312,0.10049019607843138,0.024365849735960614,0,0,77,2,79,vinnytsia,3
0.0,0.0,0.0,0.538961038961039,0.04267744833782569,0.024867868026857403,0,0,77,2,79,vinnytsia,4
0.0,0.0,0.0,0.7597402597402598,0.1527777777777778,0.024357051990266092,0,0,77,2,79,vinnytsia,5
0.0,0.0,0.0,0.7402597402597403,0.07019704433497537,0.024586131204440767,0,0,77,2,79,vinnytsia,6
0.0,0.0,0.0,0.587719298245614,0.12982456140350876,0.03651686691081879,0,0,76,3,79,vinnytsia,7
0.5747126436781609,0.5555555555555556,0.5952380952380952,0.5688545688545689,0.5820254154355892,0.24613355268247378,25,20,17,17,79,zaporizhia,1
0.611764705882353,0.5909090909090909,0.6341463414634146,0.6155327342747112,0.6797384322334001,0.24090091257556884,26,18,20,15,79,zaporizhia,2
0.5348837209302325,0.5227272727272727,0.5476190476190477,0.47876447876447875,0.550208877006107,0.2551914351543953,23,21,16,19,79,zaporizhia,3
0.5555555555555556,0.5319148936170213,0.5813953488372093,0.5310077519379846,0.5609573885898754,0.24936362289137784,25,22,14,18,79,zaporizhia,4
0.6170212765957447,0.58,0.6590909090909091,0.5415584415584416,0.605339752271181,0.24742026017066837,29,21,14,15,79,zaporizhia,5
0.6382978723404256,0.6122448979591837,0.6666666666666666,0.5751633986928105,0.6536176456766049,0.2440335859836766,30,19,15,15,79,zaporizhia,6
0.6021505376344086,0.5833333333333334,0.6222222222222222,0.538562091503268,0.6433684944499561,0.24672409519805172,28,20,14,17,79,zaporizhia,7
0.0,0.0,0.0,0.9210526315789473,0.5526315789473684,0.03674839053570917,0,0,76,3,79,zhytomyr,1
0.0,0.0,0.0,0.8728070175438597,0.26068376068376065,0.03636614188120621,0,0,76,3,79,zhytomyr,2
0.0,0.0,0.0,0.8070175438596492,0.2862950058072009,0.03679661295323212,0,0,76,3,79,zhytomyr,3
0.0,0.0,0.0,0.3114035087719298,0.03606371660699244,0.037537968022492096,0,0,76,3,79,zhytomyr,4
0.0,0.0,0.0,0.6447368421052632,0.10024038461538462,0.03705612179489483,0,0,76,3,79,zhytomyr,5
0.0,0.0,0.0,0.7894736842105263,0.11341269841269841,0.03669765011040867,0,0,76,3,79,zhytomyr,6
0.0,0.0,0.0,0.855263157894737,0.19586894586894588,0.0366628303626008,0,0,76,3,79,zhytomyr,7
